Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intestinal immune network for IgA production	2/48	0.004150829694409033	0.009003208069563253	0	0	20.833333333333332	114.25931329913583	IL6;TGFB1
Ovarian steroidogenesis	2/49	0.0043220105204802226	0.00930894573641894	0	0	20.408163265306122	111.10274666797933	PTGS2;INS
Tight junction	3/170	0.004732762378274025	0.010122852864641664	0	0	8.823529411764705	47.23452559965029	MAPK8;JUN;RAC1
Alcoholism	3/180	0.005546808415936269	0.011782186152471523	0	0	8.333333333333334	43.28777147354988	TH;MAPK1;MAPK3
Glutathione metabolism	2/56	0.005610090264869439	0.011834984942327308	0	0	17.857142857142854	92.55693695682895	GSTM1;GSTA2
Axon guidance	3/181	0.005632545656665183	0.011801524233012764	0	0	8.287292817679557	42.92149541236044	MAPK1;RAC1;MAPK3
Long-term depression	2/60	0.00641557592818846	0.0133513336883922	0	0	16.666666666666668	84.15044177638269	MAPK1;MAPK3
Long-term potentiation	2/67	0.007943774569279919	0.016420688371397416	0	0	14.925373134328357	72.1696526884224	MAPK1;MAPK3
Amphetamine addiction	2/68	0.008174210972500926	0.016784379863535235	0	0	14.705882352941176	70.68781005856127	JUN;TH
PPAR signaling pathway	2/74	0.009619264347877736	0.019620751120174452	0	0	13.513513513513514	62.75658768031307	PPARG;PPARD
Antigen processing and presentation	2/77	0.010381380159978023	0.02103595453469231	0	0	12.987012987012987	59.32131748953536	IFNG;TNF
Dilated cardiomyopathy (DCM)	2/91	0.014275977143922461	0.028738568368157632	0	0	10.989010989010989	46.69425356450134	TGFB1;TNF
Circadian entrainment	2/97	0.01611014898620261	0.03222029797240522	0	0	10.309278350515463	42.55985395648193	MAPK1;MAPK3
Melanogenesis	2/101	0.017386111170254973	0.03454788542218407	0	0	9.900990099009901	40.11963960500796	MAPK1;MAPK3
Glutamatergic synapse	2/114	0.021817334337322827	0.04307524984548353	0	0	8.771929824561402	33.55307431636512	MAPK1;MAPK3
Vascular smooth muscle contraction	2/132	0.02863545975792671	0.05617657073529571	0	0	7.575757575757576	26.91749604137831	MAPK1;MAPK3
Systemic lupus erythematosus	2/133	0.02903641445410928	0.0566026307080105	0	0	7.518796992481202	26.610560645560938	IFNG;TNF
Phagosome	2/152	0.03707341981566251	0.07181517800769846	0	0	6.578947368421052	21.67667771813647	RAC1;MPO
Arginine biosynthesis	1/21	0.041190516066627526	0.07929174342825798	0	0	23.809523809523807	75.94160099244318	NOS2
Protein processing in endoplasmic reticulum	2/165	0.04300850735452942	0.08227714450431715	0	0	6.0606060606060606	19.068832347898383	MAPK8;BCL2
Folate biosynthesis	1/26	0.050751261720201696	0.09649005314705014	0	0	19.23076923076923	57.32343845937452	TH
Maturity onset diabetes of the young	1/26	0.050751261720201696	0.09589808963081058	0	0	19.23076923076923	57.32343845937452	INS
Calcium signaling pathway	2/188	0.054305515587317096	0.10198840732252236	0	0	5.319148936170213	15.495369579824866	NOS2;EGFR
Linoleic acid metabolism	1/29	0.056443026022856134	0.10536031524266477	0	0	17.241379310344826	49.560750665033694	CYP3A4
Asthma	1/31	0.06021903535976484	0.11173170416149138	0	0	16.129032258064516	45.318818946116544	TNF
Base excision repair	1/33	0.0639803101343835	0.11799961390053965	0	0	15.151515151515152	41.65424086527227	PARP1
Tyrosine metabolism	1/36	0.06959471740161192	0.12759031523628853	0	0	13.888888888888888	37.01481408228327	TH
Thermogenesis	2/231	0.07782863297640846	0.1418415322883657	0	0	4.329004329004329	11.053012477876955	PPARG;MAPK14
Porphyrin and chlorophyll metabolism	1/42	0.0807252029061721	0.14625507350059416	0	0	11.904761904761903	29.960767247533752	HMOX1
Carbohydrate digestion and absorption	1/44	0.08440643303029116	0.15203030042882854	0	0	11.363636363636363	28.092177949395815	AKT1
Proteasome	1/45	0.08624165433518965	0.1544327298560373	0	0	11.11111111111111	27.228910989816466	IFNG
Hedgehog signaling pathway	1/47	0.08990134362975671	0.16005557131771717	0	0	10.638297872340425	25.62811055096019	BCL2
Arginine and proline metabolism	1/49	0.09354674065934461	0.16558848346596633	0	0	10.204081632653061	24.176470076489615	NOS2
Mineral absorption	1/51	0.09717789979173756	0.1710331036334581	0	0	9.80392156862745	22.855019232996256	HMOX1
Steroid hormone biosynthesis	1/60	0.11334336985743067	0.19835089725050367	0	0	8.333333333333334	18.14444496996221	CYP3A4
Arachidonic acid metabolism	1/63	0.11866887875611117	0.20649725794848722	0	0	7.936507936507936	16.916017426736325	PTGS2
Basal cell carcinoma	1/63	0.11866887875611117	0.20533716099372046	0	0	7.936507936507936	16.916017426736325	TP53
Retinol metabolism	1/67	0.12572106812860523	0.21632451946151068	0	0	7.462686567164178	15.475295305951537	CYP3A4
Staphylococcus aureus infection	1/68	0.12747550064045512	0.2181247455403343	0	0	7.352941176470588	15.145816799167308	ICAM1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.13445896809893665	0.2288031059363121	0	0	6.944444444444444	13.934001363749388	GJA1
Bile secretion	1/72	0.13445896809893665	0.2275459460135851	0	0	6.944444444444444	13.934001363749388	CYP3A4
Bacterial invasion of epithelial cells	1/74	0.13793023560669793	0.23214487741455167	0	0	6.756756756756757	13.38518419415403	RAC1
Peroxisome	1/83	0.15338369548447178	0.25675096852835494	0	0	6.024096385542169	11.294052308932752	NOS2
Insulin secretion	1/86	0.15847457220368777	0.26383874723640993	0	0	5.813953488372093	10.710239106230775	INS
Pancreatic secretion	1/98	0.178541263849713	0.2956489745468366	0	0	5.1020408163265305	8.790487420672006	RAC1
Glucagon signaling pathway	1/103	0.18676399607614094	0.3076112876548204	0	0	4.854368932038835	8.145191807067869	AKT1
Cell adhesion molecules (CAMs)	1/145	0.25273911983225783	0.4140619622783798	0	0	3.4482758620689653	4.742749893656568	ICAM1
Hippo signaling pathway	1/160	0.2750126862023323	0.4481688219593564	0	0	3.125	4.034181408546102	TGFB1
Endocytosis	1/244	0.38828120946880085	0.6294242764020561	0	0	2.0491803278688527	1.9385767114820218	EGFR
